,Syear,App,Har,Dba,Ifc,Source,Telonuse,Nlan,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,Duration,Size,Time,Effort
0,92.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,16.0,647.0,8.0,7871.0
1,93.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,130.0,9.0,845.0
2,90.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,8.0,254.0,6.0,2330.0
3,86.0,3.0,2.0,1.0,2.0,2.0,0.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,16.0,1056.0,2.0,21272.0
4,88.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,12.0,383.0,4.0,4224.0
5,92.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,12.0,345.0,8.0,2826.0
6,87.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,3.0,27.0,209.0,3.0,7320.0
7,86.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,24.0,366.0,2.0,9125.0
8,87.0,2.0,4.0,2.0,2.0,1.0,0.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,54.0,1181.0,3.0,11900.0
9,87.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,13.0,181.0,3.0,4300.0
10,90.0,2.0,5.0,1.0,2.0,1.0,0.0,1.0,5.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,21.0,739.0,6.0,4150.0
11,91.0,3.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,1.0,5.0,1.0,7.0,108.0,7.0,900.0
12,90.0,3.0,5.0,0.0,2.0,2.0,0.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,2.0,10.0,48.0,6.0,583.0
13,91.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,19.0,249.0,7.0,2565.0
14,92.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,2.0,4.0,3.0,3.0,3.0,11.0,371.0,8.0,4047.0
15,87.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,13.0,211.0,3.0,1520.0
16,91.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,32.0,1849.0,7.0,25910.0
17,89.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,1.0,4.0,38.0,2482.0,5.0,37286.0
18,85.0,3.0,3.0,1.0,2.0,2.0,0.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,40.0,434.0,1.0,15052.0
19,87.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,2.0,3.0,29.0,292.0,3.0,11039.0
20,90.0,3.0,3.0,1.0,2.0,2.0,0.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,2.0,3.0,3.0,14.0,2954.0,6.0,18500.0
21,91.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,3.0,14.0,304.0,7.0,9369.0
22,89.0,2.0,5.0,1.0,2.0,1.0,0.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,28.0,353.0,5.0,7184.0
23,92.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,2.0,4.0,16.0,567.0,8.0,10447.0
24,91.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,13.0,467.0,7.0,5100.0
25,87.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,45.0,3368.0,3.0,63694.0
26,92.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,253.0,8.0,1651.0
27,91.0,4.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,10.0,196.0,7.0,1450.0
28,92.0,1.0,2.0,1.0,2.0,2.0,0.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,12.0,185.0,8.0,1745.0
29,88.0,3.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,6.0,387.0,4.0,1798.0
30,88.0,5.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,28.0,430.0,4.0,2957.0
31,89.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,6.0,204.0,5.0,963.0
32,88.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,6.0,71.0,4.0,1233.0
33,91.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,4.0,2.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,6.0,840.0,7.0,3240.0
34,90.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,4.0,2.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,11.0,1648.0,6.0,10000.0
35,91.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,4.0,2.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,8.0,1035.0,7.0,6800.0
36,85.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,22.0,548.0,1.0,3850.0
37,91.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,31.0,2054.0,7.0,14000.0
38,88.0,5.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,26.0,302.0,4.0,5787.0
39,93.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,22.0,1172.0,9.0,9700.0
40,91.0,1.0,5.0,1.0,1.0,2.0,0.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,7.0,253.0,7.0,1100.0
41,92.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,14.0,227.0,8.0,5578.0
42,92.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,6.0,59.0,8.0,1060.0
43,91.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,6.0,299.0,7.0,5279.0
44,89.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,15.0,422.0,5.0,8117.0
45,90.0,2.0,5.0,1.0,2.0,1.0,0.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,9.0,1058.0,6.0,8710.0
46,90.0,1.0,5.0,4.0,2.0,2.0,0.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,9.0,65.0,6.0,796.0
47,88.0,3.0,3.0,1.0,2.0,2.0,0.0,3.0,5.0,5.0,3.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,26.0,390.0,4.0,11023.0
48,90.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,13.0,193.0,6.0,1755.0
49,91.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,28.0,1526.0,7.0,5931.0
50,93.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,13.0,575.0,9.0,4456.0
51,87.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,13.0,509.0,3.0,3600.0
52,88.0,5.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,3.0,3.0,12.0,583.0,4.0,4557.0
53,88.0,3.0,2.0,1.0,2.0,2.0,0.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,14.0,315.0,4.0,8752.0
54,89.0,3.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,12.0,138.0,5.0,3440.0
55,88.0,2.0,3.0,1.0,2.0,2.0,0.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,9.0,257.0,4.0,1981.0
56,85.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,30.0,423.0,1.0,13700.0
57,91.0,5.0,5.0,1.0,2.0,1.0,0.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,20.0,495.0,7.0,7105.0
58,90.0,3.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,16.0,622.0,6.0,6816.0
59,92.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,12.0,204.0,8.0,4620.0
60,90.0,3.0,3.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,15.0,616.0,6.0,7451.0
61,91.0,3.0,3.0,1.0,2.0,2.0,0.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,33.0,3643.0,7.0,39479.0
